ip_str,country_code,postal_code,country_name
188.63.125.7,CH,6982,Switzerland
159.8.242.141,NL,1091,Netherlands
154.194.114.23,ZA,2000,South Africa
147.28.229.129,US,,United States
163.148.96.233,JP,,Japan
95.213.138.168,RU,102087,Russian Federation
87.246.234.206,PL,,Poland
68.4.26.57,US,92660,United States
208.131.129.21,US,84332,United States
193.206.58.104,IT,13100,Italy
140.113.210.230,TW,,Taiwan
74.94.198.49,US,26062,United States
23.225.120.88,US,90014,United States
185.208.200.38,RU,,Russian Federation
66.148.68.186,US,,United States
84.60.203.93,DE,42781,Germany
208.131.146.19,US,84332,United States
147.28.229.167,US,,United States
96.72.73.65,US,60062,United States
2.225.152.33,IT,16149,Italy
198.178.231.148,US,,United States
154.85.136.8,US,,United States
51.91.236.141,FR,,France
45.199.12.158,US,,United States
153.127.237.85,JP,600-8106,Japan
96.67.213.158,US,95926,United States
202.153.32.19,IN,,India
94.102.217.59,DE,,Germany
98.158.120.50,US,10020,United States
86.246.158.118,FR,91430,France
107.160.189.144,US,91789,United States
193.253.114.141,RE,,Reunion
193.49.53.160,FR,31000,France
149.202.151.147,FR,,France
156.234.82.14,US,,United States
178.32.56.109,GB,SE1,United Kingdom
185.208.203.174,RU,,Russian Federation
84.106.112.124,NL,2411,Netherlands
154.207.23.109,ZA,2000,South Africa
104.221.166.24,US,90017,United States
79.219.204.66,DE,90587,Germany
51.77.129.67,FR,,France
107.160.189.181,US,91789,United States
142.169.205.229,CA,,Canada
66.115.160.16,US,30067,United States
147.28.232.170,US,,United States
94.59.215.108,AE,,United Arab Emirates
107.160.171.185,US,91789,United States
86.101.114.210,HU,1131,Hungary
185.212.44.165,DE,,Germany
173.163.169.229,US,17401,United States
81.250.226.249,FR,30240,France
154.207.23.85,ZA,2000,South Africa
195.201.173.183,DE,,Germany
188.127.168.130,ES,,Spain
67.211.67.67,CA,T8C,Canada
103.15.107.142,MY,,Malaysia
194.187.99.117,NL,,Netherlands
41.149.158.116,ZA,2041,South Africa
129.130.43.201,US,66502,United States
154.197.155.29,ZA,2000,South Africa
185.23.29.253,IT,,Italy
162.209.129.201,US,90014,United States
23.237.34.187,US,90014,United States
87.110.238.86,LV,,Latvia
147.28.230.58,US,,United States
126.36.202.17,JP,,Japan
147.28.233.58,US,,United States
204.16.7.103,US,,United States
193.104.37.69,BE,,Belgium
83.162.196.77,NL,2661,Netherlands
103.3.49.130,JP,600-8106,Japan
167.88.124.231,US,30305,United States
208.131.133.146,US,84332,United States
60.249.223.63,TW,,Taiwan
208.131.145.237,US,84332,United States
51.91.131.180,FR,,France
156.235.241.197,US,,United States
190.61.219.73,AR,1871,Argentina
185.27.73.155,IT,80127,Italy
96.51.167.137,CA,T1S,Canada
195.5.208.74,FR,,France
93.186.198.6,DE,,Germany
34.80.200.147,US,,United States
155.159.37.225,US,60602,United States
92.38.234.135,RU,140008,Russian Federation
88.208.20.73,NL,,Netherlands
23.224.82.14,US,90014,United States
43.227.19.244,IN,,India
195.16.148.34,ES,,Spain
156.251.57.139,ZA,2000,South Africa
62.210.169.172,FR,,France
164.151.5.24,ZA,7493,South Africa
80.247.239.200,FR,,France
185.27.73.121,IT,80127,Italy
154.194.92.9,ZA,2000,South Africa
203.196.38.89,AU,3931,Australia
172.106.222.23,US,91789,United States
108.54.244.77,US,11501,United States
217.27.122.22,IT,07026,Italy
